Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-3800.02	-3947.837	147.8167	3.17369	0.365573	0.0996111	0.193788	0.341027	1.044371	4.454202
6	-3785.537	-3932.243	146.706	2.898759	0.330519	0.0758431	0.285977	0.307661	1.044371	5.165379
12	-3795.631	-3941.241	145.6097	1.669286	0.310769	0.118674	0.274926	0.295631	0.8464775	6.349211
18	-3791.545	-3936.117	144.572	2.016605	0.203093	0.102405	0.401284	0.293217	0.8216277	6.777021
24	-3795.082	-3939.703	144.6212	2.00678	0.314813	0.0699815	0.191466	0.423739	0.7797755	6.777021
30	-3796.142	-3941.341	145.1989	2.00678	0.294378	0.105126	0.308985	0.291512	0.912884	6.392417
36	-3788.837	-3933.831	144.9944	2.00678	0.271551	0.096974	0.362568	0.268907	0.8270813	6.549724
42	-3791.588	-3936.569	144.9807	2.11399	0.192821	0.240448	0.322091	0.24464	0.7614326	6.549724
48	-3797.948	-3942.237	144.289	1.981405	0.217606	0.271355	0.234953	0.276085	0.8880968	6.908074
54	-3799.158	-3945.113	145.9545	1.76083	0.165658	0.238599	0.352984	0.242758	0.951189	6.064395
60	-3807.719	-3956.562	148.8435	1.189317	0.221875	0.224925	0.472771	0.0804295	1.039505	4.696674
66	-3816.437	-3966.737	150.2995	1.251946	0.0755446	0.317968	0.340632	0.265855	1.129496	3.786608
72	-3797.533	-3943.983	146.4501	2.808698	0.263571	0.144742	0.337536	0.254151	1.108146	5.30229
78	-3788.103	-3934.338	146.2354	2.089653	0.149367	0.14339	0.403457	0.303787	0.9360797	5.781572
84	-3783.147	-3930.161	147.0144	1.784548	0.293554	0.134605	0.326215	0.245626	0.8741866	5.516083
90	-3787.924	-3935.257	147.3338	2.054767	0.173063	0.24635	0.402261	0.178325	0.8907669	5.216501
96	-3781.835	-3928.631	146.7963	2.119408	0.148676	0.178456	0.24213	0.430738	0.90603	5.47834
102	-3778.248	-3925.148	146.8991	1.609795	0.167841	0.110039	0.566512	0.155608	0.9621932	5.609308
108	-3778.267	-3924.932	146.6649	1.50551	0.244411	0.0945454	0.434445	0.226598	0.886973	5.827361
114	-3787.169	-3933.433	146.2645	2.630411	0.368311	0.113267	0.209291	0.309131	0.8704881	5.59754
120	-3787.117	-3929.889	142.7718	5.089456	0.35442	0.108996	0.188976	0.347608	0.8577113	6.80798
126	-3788.053	-3934.06	146.007	3.042636	0.217891	0.284582	0.0699519	0.427575	0.8782239	5.59451
132	-3789.805	-3933.636	143.8313	3.581768	0.294557	0.0835026	0.0835992	0.538342	0.8558052	6.62605
138	-3778.965	-3924.381	145.4158	1.940474	0.273971	0.156731	0.253542	0.315756	0.9141839	6.301163
144	-3787.292	-3934.666	147.374	2.795981	0.316676	0.053821	0.521073	0.10843	1.059673	4.820931
150	-3789.561	-3936.426	146.8657	2.947896	0.285397	0.140697	0.116079	0.457828	1.154994	4.998888
156	-3790.721	-3938.872	148.1512	2.65436	0.203008	0.325396	0.0825691	0.389026	1.021961	4.45678
162	-3790.85	-3938.256	147.4061	2.278563	0.16486	0.256951	0.192008	0.386181	1.085779	4.978903
168	-3802.176	-3950.318	148.1424	2.278563	0.160698	0.148408	0.314463	0.376431	1.057493	4.583538
174	-3792.775	-3940.705	147.9305	2.235502	0.2501	0.159519	0.206846	0.383535	0.9608571	4.773234
180	-3794.604	-3939.237	144.6335	2.17542	0.173181	0.249237	0.184468	0.393114	0.7789313	6.703969
186	-3797.765	-3943.741	145.9754	1.554799	0.0617064	0.394583	0.308239	0.235472	0.8362909	6.207998
192	-3789.029	-3934.48	145.4504	1.261526	0.0789263	0.273898	0.483445	0.16373	0.8956375	6.60158
198	-3794.56	-3938.758	144.198	3.459274	0.203137	0.453381	0.073387	0.270096	0.829358	6.477875
204	-3789.836	-3934.294	144.4576	2.397861	0.241812	0.26972	0.0948148	0.393653	0.8308799	6.686871
210	-3784.253	-3929.584	145.3317	2.378459	0.19445	0.300463	0.109488	0.395598	0.7479588	6.265345
216	-3795.37	-3940.756	145.386	1.652656	0.186697	0.303355	0.110542	0.399406	0.7203015	6.546248
222	-3792.974	-3937.906	144.9319	2.080742	0.207975	0.288531	0.123605	0.379889	0.841053	6.546248
228	-3797.235	-3944.294	147.0586	2.085603	0.171822	0.260519	0.235326	0.332334	0.9444009	5.326311
